Season,Average_Yield_Tonnes_Ha,Average_Production_Tonnes,Average_Revenue_INR,Average_Cost_INR,Average_Profit_INR,Average_Water_Used_m3,Average_Water_Efficiency,Average_Disease_Pest_Risk_pct
Kharif,5.628611579539067,46.3111916807195,710719.0556492412,531804.4080944351,178914.64755480608,6102.201236649803,5.891833614390107,54.46790331646992
Rabi,5.039434542102028,41.48671173939767,601526.0485556239,513836.57836508914,87689.47019053473,5846.98709280885,5.186122311001844,40.48211432083589
Zaid,4.641313131313131,38.886111111111106,519171.904040404,543976.7289562289,-24804.824915824916,6419.893939393939,4.413239057239057,38.21666666666667
