Crop,Average_Yield_Tonnes_Ha,Average_Production_Tonnes,Average_Revenue_INR,Average_Profit_INR
Sugarcane,46.642360655737704,392.4130163934426,1371980.1147540985,817187.9868852459
Maize,2.7100362976406536,21.781125226860254,457067.9909255898,-83978.32667876588
Rice,2.431304347826087,19.288623188405797,423615.25942028983,-102213.50434782609
Wheat,2.108013029315961,16.85390879478827,400104.88599348534,-123398.33713355049
Chilli,1.5427669902912622,12.382888349514563,1276777.2281553398,750878.3422330098
Groundnut,1.3229009433962264,9.655825471698114,542935.4976415094,44858.12028301887
Cotton,1.2297834645669292,9.395866141732284,639423.0826771654,124546.9153543307
Pulses,0.9215120967741935,7.401411290322581,528465.8669354839,-4238.052419354839
